student_id,department,math_score,physics_score,chemistry_score,biology_score,programming_interest,electronics_interest,mechanical_interest,medical_interest,creativity_score,communication_score,science_avg,stem_score,bio_chem_score,tech_interest,engineering_interest,medical_affinity,math_bio_gap,tech_medical_gap,science_comm_gap,soft_skills,is_tech,is_medical,is_business,is_engineering
1,Mechanical,84,89,67,60,4,5,10,3,9,3,72.0,86.5,63.5,4.5,7.5,33.25,24,1.5,69.0,6.0,0,0,0,1
2,CSE,100,90,64,49,10,6,2,1,6,5,67.66666666666667,95.0,56.5,8.0,4.0,28.75,51,7.0,62.66666666666667,5.5,1,0,0,0
3,Pharmacy,62,81,97,88,1,4,2,4,10,6,88.66666666666667,71.5,92.5,2.5,3.0,48.25,-26,-1.5,82.66666666666667,8.0,0,0,0,0
4,Mechanical,88,84,73,56,5,5,10,1,8,4,71.0,86.0,64.5,5.0,7.5,32.75,32,4.0,67.0,6.0,0,0,0,0
5,CSE,93,86,65,52,10,7,0,1,5,7,67.66666666666667,89.5,58.5,8.5,3.5,29.75,41,7.5,60.66666666666667,6.0,1,0,0,0
6,Nursing,65,62,75,90,1,2,0,8,6,9,75.66666666666667,63.5,82.5,1.5,1.0,45.25,-25,-6.5,66.66666666666667,7.5,0,1,0,0
7,Mechanical,88,95,74,60,3,0,10,2,8,5,76.33333333333333,91.5,67.0,1.5,5.0,34.5,28,-0.5,71.33333333333333,6.5,0,0,0,1
8,ECE,92,91,60,50,9,10,3,1,8,4,67.0,91.5,55.0,9.5,6.5,28.0,42,8.5,63.0,6.0,1,0,0,0
9,BBA,75,53,62,57,3,6,3,0,6,10,57.333333333333336,64.0,59.5,4.5,4.5,29.75,18,4.5,47.333333333333336,8.0,0,0,0,0
10,CSE,94,84,62,50,10,4,2,0,6,2,65.33333333333333,89.0,56.0,7.0,3.0,28.0,44,7.0,63.33333333333333,4.0,1,0,0,0
11,Pharmacy,70,74,95,90,1,3,2,8,7,8,86.33333333333333,72.0,92.5,2.0,2.5,50.25,-20,-6.0,78.33333333333333,7.5,0,1,1,0
12,BA English,61,55,56,71,4,3,0,5,10,8,60.666666666666664,58.0,63.5,3.5,1.5,34.25,-10,-1.5,52.666666666666664,9.0,0,0,1,0
13,EEE,89,96,62,53,4,10,3,1,8,6,70.33333333333333,92.5,57.5,7.0,6.5,29.25,36,6.0,64.33333333333333,7.0,0,0,0,0
14,BA English,60,58,65,61,4,1,1,3,9,10,61.333333333333336,59.0,63.0,2.5,1.0,33.0,-1,-0.5,51.333333333333336,9.5,0,0,1,0
15,Pharmacy,70,75,97,88,2,2,1,9,9,8,86.66666666666667,72.5,92.5,2.0,1.5,50.75,-18,-7.0,78.66666666666667,8.5,0,1,1,0
16,BA English,58,45,58,60,2,2,2,4,9,9,54.333333333333336,51.5,59.0,2.0,2.0,31.5,-2,-2.0,45.333333333333336,9.0,0,0,1,0
17,Mechanical,88,86,72,63,0,5,10,1,10,4,73.66666666666667,87.0,67.5,2.5,7.5,34.25,25,1.5,69.66666666666667,7.0,0,0,0,1
18,EEE,94,92,69,45,6,9,3,1,9,1,68.66666666666667,93.0,57.0,7.5,6.0,29.0,49,6.5,67.66666666666667,5.0,0,0,0,0
19,BBA,65,62,57,47,5,4,6,4,5,7,55.333333333333336,63.5,52.0,4.5,5.0,28.0,18,0.5,48.333333333333336,6.0,0,0,0,0
20,Pharmacy,69,73,100,93,1,4,2,9,6,9,88.66666666666667,71.0,96.5,2.5,3.0,52.75,-24,-6.5,79.66666666666667,7.5,0,1,0,0
21,Pharmacy,68,73,97,91,1,2,2,4,4,5,87.0,70.5,94.0,1.5,2.0,49.0,-23,-2.5,82.0,4.5,0,0,0,0
22,Nursing,60,54,72,90,1,2,2,10,6,8,72.0,57.0,81.0,1.5,2.0,45.5,-30,-8.5,64.0,7.0,0,1,0,0
23,BA English,66,54,52,63,4,1,1,4,9,8,56.333333333333336,60.0,57.5,2.5,1.0,30.75,3,-1.5,48.333333333333336,8.5,0,0,1,0
24,Nursing,71,52,77,88,2,1,0,8,6,10,72.33333333333333,61.5,82.5,1.5,0.5,45.25,-17,-6.5,62.33333333333333,8.0,0,1,0,0
25,Civil,81,76,74,55,1,1,8,1,6,8,68.33333333333333,78.5,64.5,1.0,4.5,32.75,26,0.0,60.33333333333333,7.0,0,0,0,0
26,ECE,82,92,55,58,9,10,7,0,7,5,68.33333333333333,87.0,56.5,9.5,8.5,28.25,24,9.5,63.33333333333333,6.0,0,0,0,1
27,Nursing,70,60,80,91,1,3,1,7,7,8,77.0,65.0,85.5,2.0,2.0,46.25,-21,-5.0,69.0,7.5,0,0,1,0
28,BBA,64,71,55,59,5,3,2,4,11,10,61.666666666666664,67.5,57.0,4.0,2.5,30.5,5,0.0,51.666666666666664,10.5,0,0,1,0
29,BCom,75,52,62,62,2,5,2,1,5,10,58.666666666666664,63.5,62.0,3.5,3.5,31.5,13,2.5,48.666666666666664,7.5,0,0,0,0
30,ECE,89,92,56,51,5,10,3,1,7,4,66.33333333333333,90.5,53.5,7.5,6.5,27.25,38,6.5,62.33333333333333,5.5,0,0,0,0
31,BBA,70,58,61,63,2,2,4,0,7,12,60.666666666666664,64.0,62.0,2.0,3.0,31.0,7,2.0,48.666666666666664,9.5,0,0,1,0
32,Pharmacy,71,69,96,87,3,8,2,4,5,7,84.0,70.0,91.5,5.5,5.0,47.75,-16,1.5,77.0,6.0,0,0,0,0
